Wavelength,Intensity
2.571998760421520274e+02,4.504002075195312500e+02
2.576807076013981259e+02,4.666002197265625000e+02
2.581616502272069056e+02,5.026002502441406250e+02
2.586427039195784232e+02,5.152001953125000000e+02
2.591238686785127356e+02,4.724000854492187500e+02
2.596051445040097292e+02,4.134001770019531250e+02
2.600865313960694039e+02,4.012002258300781250e+02
2.605680293546918733e+02,4.316002502441406250e+02
2.610496383798770808e+02,4.578002624511718750e+02
2.615313584716249693e+02,4.522002563476562500e+02
2.620131896299355958e+02,4.636001586914062500e+02
2.624951318548089603e+02,4.820000915527343750e+02
2.629771851462450627e+02,4.626000671386718750e+02
2.634593495042439031e+02,4.344000854492187500e+02
2.639416249288054246e+02,4.294000854492187500e+02
2.644240114199296841e+02,4.452000122070312500e+02
2.649065089776167383e+02,4.549999694824218750e+02
2.653891176018664737e+02,4.207999267578125000e+02
2.658718372926788902e+02,3.977999267578125000e+02
2.663546680500541015e+02,4.047998657226562500e+02
2.668376098739920508e+02,3.828000183105468750e+02
2.673206627644926812e+02,3.657999877929687500e+02
2.678038267215560495e+02,3.844000244140625000e+02
2.682871017451821558e+02,4.052000122070312500e+02
2.687704878353710001e+02,3.918000488281250000e+02
2.692539849921225823e+02,3.702001037597656250e+02
2.697375932154368456e+02,3.726001281738281250e+02
2.702213125053139038e+02,3.832001953125000000e+02
2.707051428617536430e+02,4.104001464843750000e+02
2.711890842847561203e+02,4.056000061035156250e+02
2.716731367743213355e+02,4.142000427246093750e+02
2.721573003304492886e+02,4.458000793457031250e+02
2.726415749531399229e+02,4.753999633789062500e+02
2.731259606423932951e+02,4.702000122070312500e+02
2.736104573982094621e+02,4.528000488281250000e+02
2.740950652205883102e+02,4.462000732421875000e+02
2.745797841095298963e+02,4.502000427246093750e+02
2.750646140650341636e+02,4.356000061035156250e+02
2.755495550871012256e+02,4.409999084472656250e+02
2.760346071757309687e+02,4.309999389648437500e+02
2.765197703309234498e+02,3.861999816894531250e+02
2.770050445526787257e+02,3.913999633789062500e+02
2.774904298409966259e+02,4.056000671386718750e+02
2.779759261958773209e+02,4.168001098632812500e+02
2.784615336173207538e+02,4.276000976562500000e+02
2.789472521053268679e+02,4.148000793457031250e+02
2.794330816598957199e+02,4.290001220703125000e+02
2.799190222810273099e+02,4.472000732421875000e+02
2.804050739687216378e+02,4.031999511718750000e+02
2.808912367229787037e+02,4.235999755859375000e+02
2.813775105437985076e+02,4.407999877929687500e+02
2.818638954311809925e+02,4.378000183105468750e+02
2.823503913851262155e+02,4.042000122070312500e+02
2.828369984056341764e+02,3.873999633789062500e+02
2.833237164927048752e+02,3.935999450683593750e+02
2.838105456463383121e+02,4.025999145507812500e+02
2.842974858665344868e+02,3.884000244140625000e+02
2.847845371532933427e+02,3.620000305175781250e+02
2.852716995066149366e+02,3.686000366210937500e+02
2.857589729264992684e+02,4.060001525878906250e+02
2.862463574129463382e+02,3.904002990722656250e+02
2.867338529659561459e+02,3.488001708984375000e+02
2.872214595855286916e+02,3.356000671386718750e+02
2.877091772716639184e+02,3.702000732421875000e+02
2.881970060243619400e+02,3.821999816894531250e+02
2.886849458436226428e+02,3.824000244140625000e+02
2.891729967294460835e+02,3.834000854492187500e+02
2.896611586818322053e+02,3.852000427246093750e+02
2.901494317007811219e+02,3.599999389648437500e+02
2.906378157862927196e+02,3.309999084472656250e+02
2.911263109383671122e+02,3.510000305175781250e+02
2.916149171570041858e+02,3.914000854492187500e+02
2.921036344422039974e+02,3.830000915527343750e+02
2.925924627939665470e+02,3.774001464843750000e+02
2.930814022122917777e+02,3.712000427246093750e+02
2.935704526971798032e+02,3.616001281738281250e+02
2.940596142486305098e+02,3.366001586914062500e+02
2.945488868666439544e+02,3.146001281738281250e+02
2.950382705512201369e+02,3.368001403808593750e+02
2.955277653023590574e+02,3.616001892089843750e+02
2.960173711200607158e+02,3.736001281738281250e+02
2.965070880043250554e+02,3.564002685546875000e+02
2.969969159551521329e+02,3.320002441406250000e+02
2.974868549725420053e+02,3.448001403808593750e+02
2.979769050564945019e+02,3.220001831054687500e+02
2.984670662070097933e+02,2.824000244140625000e+02
2.989573384240878227e+02,2.476000213623046875e+02
2.994477217077285331e+02,2.546000671386718750e+02
2.999382160579320384e+02,2.873999633789062500e+02
3.004288214746982248e+02,2.756000366210937500e+02
3.009195379580271492e+02,2.934001159667968750e+02
3.014103655079188115e+02,3.222001037597656250e+02
3.019013041243731550e+02,2.783999938964843750e+02
3.023923538073902932e+02,2.018000030517578125e+02
3.028835145569701126e+02,2.178000793457031250e+02
3.033747863731126699e+02,2.976001892089843750e+02
3.038661692558179652e+02,3.042000732421875000e+02
3.043576632050859985e+02,2.572001037597656250e+02
3.048492682209167697e+02,2.350000610351562500e+02
3.053409843033102220e+02,2.648000488281250000e+02
3.058328114522664691e+02,2.982000732421875000e+02
3.063247496677853974e+02,3.012001037597656250e+02
3.068167989498670636e+02,3.016001281738281250e+02
3.073089592985114678e+02,2.984001464843750000e+02
3.078012307137186099e+02,2.938000793457031250e+02
3.082936131954884331e+02,3.196001281738281250e+02
3.087861067438209943e+02,3.540001525878906250e+02
3.092787113587163503e+02,3.188001098632812500e+02
3.097714270401743875e+02,3.106001281738281250e+02
3.102642537881951057e+02,3.166001281738281250e+02
3.107571916027786187e+02,3.442001037597656250e+02
3.112502404839248697e+02,3.742001647949218750e+02
3.117434004316338019e+02,3.096000366210937500e+02
3.122366714459054720e+02,3.120001220703125000e+02
3.127300535267398800e+02,3.262001953125000000e+02
3.132235466741370260e+02,3.254002075195312500e+02
3.137171508880969100e+02,3.340002136230468750e+02
3.142108661686195319e+02,3.136001586914062500e+02
3.147046925157048349e+02,3.060001831054687500e+02
3.151986299293528759e+02,2.850000610351562500e+02
3.156926784095636549e+02,3.388001403808593750e+02
3.161868379563371718e+02,3.074001159667968750e+02
3.166811085696734267e+02,2.764001159667968750e+02
3.171754902495723627e+02,2.760000305175781250e+02
3.176699829960340935e+02,2.627999877929687500e+02
3.181645868090585054e+02,2.579999389648437500e+02
3.186593016886456553e+02,2.604000244140625000e+02
3.191541276347955431e+02,2.844001159667968750e+02
3.196490646475081689e+02,2.776000366210937500e+02
3.201441127267834759e+02,2.606000366210937500e+02
3.206392718726215776e+02,2.544000091552734375e+02
