Wavelength,Intensity
2.571998760421520274e+02,4.000000000000000000e+01
2.576807076013981259e+02,3.800000000000000000e+01
2.581616502272069056e+02,3.739999771118164062e+01
2.586427039195784232e+02,3.439999771118164062e+01
2.591238686785127356e+02,3.439999771118164062e+01
2.596051445040097292e+02,3.439999771118164062e+01
2.600865313960694039e+02,3.179999923706054688e+01
2.605680293546918733e+02,9.799999237060546875e+00
2.610496383798770808e+02,8.000000000000000000e+00
2.615313584716249693e+02,7.000000000000000000e+00
2.620131896299355958e+02,8.000000000000000000e+00
2.624951318548089603e+02,8.000000000000000000e+00
2.629771851462450627e+02,1.100000000000000000e+01
2.634593495042439031e+02,2.200000000000000000e+01
2.639416249288054246e+02,2.500000000000000000e+01
2.644240114199296841e+02,2.300000000000000000e+01
2.649065089776167383e+02,2.000000000000000000e+01
2.653891176018664737e+02,2.400000000000000000e+01
2.658718372926788902e+02,2.300000000000000000e+01
2.663546680500541015e+02,1.700000000000000000e+01
2.668376098739920508e+02,1.400000000000000000e+01
2.673206627644926812e+02,1.600000000000000000e+01
2.678038267215560495e+02,1.400000000000000000e+01
2.682871017451821558e+02,6.000000000000000000e+00
2.687704878353710001e+02,6.000000000000000000e+00
2.692539849921225823e+02,4.000000000000000000e+00
2.697375932154368456e+02,4.000000000000000000e+00
2.702213125053139038e+02,4.000000000000000000e+00
2.707051428617536430e+02,4.000000000000000000e+00
2.711890842847561203e+02,4.000000000000000000e+00
2.716731367743213355e+02,4.000000000000000000e+00
2.721573003304492886e+02,4.000000000000000000e+00
2.726415749531399229e+02,0.000000000000000000e+00
2.731259606423932951e+02,0.000000000000000000e+00
2.736104573982094621e+02,0.000000000000000000e+00
2.740950652205883102e+02,0.000000000000000000e+00
2.745797841095298963e+02,0.000000000000000000e+00
2.750646140650341636e+02,0.000000000000000000e+00
2.755495550871012256e+02,0.000000000000000000e+00
2.760346071757309687e+02,0.000000000000000000e+00
2.765197703309234498e+02,0.000000000000000000e+00
2.770050445526787257e+02,0.000000000000000000e+00
2.774904298409966259e+02,0.000000000000000000e+00
2.779759261958773209e+02,0.000000000000000000e+00
2.784615336173207538e+02,0.000000000000000000e+00
2.789472521053268679e+02,0.000000000000000000e+00
2.794330816598957199e+02,0.000000000000000000e+00
2.799190222810273099e+02,0.000000000000000000e+00
2.804050739687216378e+02,0.000000000000000000e+00
2.808912367229787037e+02,2.000000000000000000e+00
2.813775105437985076e+02,2.000000000000000000e+00
2.818638954311809925e+02,2.000000000000000000e+00
2.823503913851262155e+02,4.000000000000000000e+00
2.828369984056341764e+02,5.000000000000000000e+00
2.833237164927048752e+02,6.000000000000000000e+00
2.838105456463383121e+02,6.000000000000000000e+00
2.842974858665344868e+02,6.000000000000000000e+00
2.847845371532933427e+02,1.600000000000000000e+01
2.852716995066149366e+02,1.500000000000000000e+01
2.857589729264992684e+02,1.800000000000000000e+01
2.862463574129463382e+02,1.600000000000000000e+01
2.867338529659561459e+02,1.800000000000000000e+01
2.872214595855286916e+02,1.800000000000000000e+01
2.877091772716639184e+02,1.300000000000000000e+01
2.881970060243619400e+02,1.900000000000000000e+01
2.886849458436226428e+02,2.000000000000000000e+01
2.891729967294460835e+02,1.800000000000000000e+01
2.896611586818322053e+02,1.200000000000000000e+01
2.901494317007811219e+02,1.200000000000000000e+01
2.906378157862927196e+02,1.200000000000000000e+01
2.911263109383671122e+02,1.200000000000000000e+01
2.916149171570041858e+02,0.000000000000000000e+00
2.921036344422039974e+02,0.000000000000000000e+00
2.925924627939665470e+02,0.000000000000000000e+00
2.930814022122917777e+02,0.000000000000000000e+00
2.935704526971798032e+02,0.000000000000000000e+00
2.940596142486305098e+02,0.000000000000000000e+00
2.945488868666439544e+02,0.000000000000000000e+00
2.950382705512201369e+02,0.000000000000000000e+00
2.955277653023590574e+02,3.000000000000000000e+00
2.960173711200607158e+02,1.300000000000000000e+01
2.965070880043250554e+02,1.300000000000000000e+01
2.969969159551521329e+02,1.300000000000000000e+01
2.974868549725420053e+02,1.300000000000000000e+01
2.979769050564945019e+02,1.300000000000000000e+01
2.984670662070097933e+02,1.300000000000000000e+01
2.989573384240878227e+02,1.300000000000000000e+01
2.994477217077285331e+02,1.200000000000000000e+01
2.999382160579320384e+02,3.000000000000000000e+00
3.004288214746982248e+02,2.000000000000000000e+00
3.009195379580271492e+02,0.000000000000000000e+00
3.014103655079188115e+02,0.000000000000000000e+00
3.019013041243731550e+02,0.000000000000000000e+00
3.023923538073902932e+02,0.000000000000000000e+00
3.028835145569701126e+02,0.000000000000000000e+00
3.033747863731126699e+02,0.000000000000000000e+00
3.038661692558179652e+02,4.000000000000000000e+00
3.043576632050859985e+02,7.000000000000000000e+00
3.048492682209167697e+02,7.000000000000000000e+00
3.053409843033102220e+02,5.000000000000000000e+00
3.058328114522664691e+02,7.000000000000000000e+00
3.063247496677853974e+02,7.000000000000000000e+00
3.068167989498670636e+02,7.000000000000000000e+00
3.073089592985114678e+02,5.000000000000000000e+00
3.078012307137186099e+02,5.000000000000000000e+00
3.082936131954884331e+02,5.000000000000000000e+00
3.087861067438209943e+02,5.000000000000000000e+00
3.092787113587163503e+02,8.000000000000000000e+00
3.097714270401743875e+02,9.000000000000000000e+00
3.102642537881951057e+02,1.100000000000000000e+01
3.107571916027786187e+02,1.100000000000000000e+01
3.112502404839248697e+02,8.000000000000000000e+00
3.117434004316338019e+02,1.000000000000000000e+01
