Wavelength,Intensity
2.571998760421520274e+02,3.052000122070312500e+02
2.576807076013981259e+02,2.837999877929687500e+02
2.581616502272069056e+02,2.579998779296875000e+02
2.586427039195784232e+02,2.433998565673828125e+02
2.591238686785127356e+02,2.475998992919921875e+02
2.596051445040097292e+02,2.505999145507812500e+02
2.600865313960694039e+02,2.553999328613281250e+02
2.605680293546918733e+02,2.593999328613281250e+02
2.610496383798770808e+02,2.333999633789062500e+02
2.615313584716249693e+02,2.511999206542968750e+02
2.620131896299355958e+02,2.637999877929687500e+02
2.624951318548089603e+02,2.530000610351562500e+02
2.629771851462450627e+02,2.455999908447265625e+02
2.634593495042439031e+02,2.603999938964843750e+02
2.639416249288054246e+02,2.672001037597656250e+02
2.644240114199296841e+02,2.421999206542968750e+02
2.649065089776167383e+02,2.011999206542968750e+02
2.653891176018664737e+02,1.751999816894531250e+02
2.658718372926788902e+02,1.656000518798828125e+02
2.663546680500541015e+02,1.560000457763671875e+02
2.668376098739920508e+02,1.680000305175781250e+02
2.673206627644926812e+02,1.727999725341796875e+02
2.678038267215560495e+02,1.891999053955078125e+02
2.682871017451821558e+02,2.017999267578125000e+02
2.687704878353710001e+02,2.049998931884765625e+02
2.692539849921225823e+02,1.973998870849609375e+02
2.697375932154368456e+02,1.839999389648437500e+02
2.702213125053139038e+02,1.809999389648437500e+02
2.707051428617536430e+02,1.859999847412109375e+02
2.711890842847561203e+02,2.020000000000000000e+02
2.716731367743213355e+02,2.060000000000000000e+02
2.721573003304492886e+02,2.015999908447265625e+02
2.726415749531399229e+02,2.253999481201171875e+02
2.731259606423932951e+02,2.037998962402343750e+02
2.736104573982094621e+02,2.009999084472656250e+02
2.740950652205883102e+02,1.921999206542968750e+02
2.745797841095298963e+02,1.953999023437500000e+02
2.750646140650341636e+02,1.883999176025390625e+02
2.755495550871012256e+02,2.013999023437500000e+02
2.760346071757309687e+02,2.007999420166015625e+02
2.765197703309234498e+02,2.201999359130859375e+02
2.770050445526787257e+02,2.203999328613281250e+02
2.774904298409966259e+02,2.171998901367187500e+02
2.779759261958773209e+02,2.015999145507812500e+02
2.784615336173207538e+02,2.021999053955078125e+02
2.789472521053268679e+02,2.189999084472656250e+02
2.794330816598957199e+02,2.229999542236328125e+02
2.799190222810273099e+02,2.189999542236328125e+02
2.804050739687216378e+02,1.951999664306640625e+02
2.808912367229787037e+02,2.041999359130859375e+02
2.813775105437985076e+02,2.023999786376953125e+02
2.818638954311809925e+02,1.985999298095703125e+02
2.823503913851262155e+02,2.051998901367187500e+02
2.828369984056341764e+02,1.897999725341796875e+02
2.833237164927048752e+02,1.805999450683593750e+02
2.838105456463383121e+02,1.771999664306640625e+02
2.842974858665344868e+02,1.767998809814453125e+02
2.847845371532933427e+02,1.849998626708984375e+02
2.852716995066149366e+02,2.187998046875000000e+02
2.857589729264992684e+02,2.029999084472656250e+02
2.862463574129463382e+02,1.989999694824218750e+02
2.867338529659561459e+02,1.785999755859375000e+02
2.872214595855286916e+02,1.823999481201171875e+02
2.877091772716639184e+02,1.861999053955078125e+02
2.881970060243619400e+02,1.831999969482421875e+02
2.886849458436226428e+02,1.813999328613281250e+02
2.891729967294460835e+02,1.843999176025390625e+02
2.896611586818322053e+02,1.855999145507812500e+02
2.901494317007811219e+02,2.073998870849609375e+02
