Wavelength,Intensity
2.571998760421520274e+02,1.081800048828125000e+03
2.576807076013981259e+02,1.057400146484375000e+03
2.581616502272069056e+02,1.049000488281250000e+03
2.586427039195784232e+02,1.032400512695312500e+03
2.591238686785127356e+02,1.016600341796875000e+03
2.596051445040097292e+02,1.012600341796875000e+03
2.600865313960694039e+02,1.027200195312500000e+03
2.605680293546918733e+02,1.040200195312500000e+03
2.610496383798770808e+02,1.032400024414062500e+03
2.615313584716249693e+02,1.015200317382812500e+03
2.620131896299355958e+02,1.005400146484375000e+03
2.624951318548089603e+02,9.949997558593750000e+02
2.629771851462450627e+02,9.616000366210937500e+02
2.634593495042439031e+02,9.493999633789062500e+02
2.639416249288054246e+02,9.431997070312500000e+02
2.644240114199296841e+02,9.332002563476562500e+02
2.649065089776167383e+02,8.870003051757812500e+02
2.653891176018664737e+02,8.922001953125000000e+02
2.658718372926788902e+02,9.082001342773437500e+02
2.663546680500541015e+02,9.008002929687500000e+02
2.668376098739920508e+02,8.822003784179687500e+02
2.673206627644926812e+02,8.856002807617187500e+02
2.678038267215560495e+02,8.814002685546875000e+02
2.682871017451821558e+02,8.760002441406250000e+02
2.687704878353710001e+02,9.236001586914062500e+02
2.692539849921225823e+02,9.242003173828125000e+02
2.697375932154368456e+02,8.758003540039062500e+02
2.702213125053139038e+02,7.978004150390625000e+02
2.707051428617536430e+02,7.938001098632812500e+02
2.711890842847561203e+02,8.820000610351562500e+02
2.716731367743213355e+02,9.040000000000000000e+02
2.721573003304492886e+02,8.743999633789062500e+02
2.726415749531399229e+02,8.852001342773437500e+02
2.731259606423932951e+02,8.988003540039062500e+02
2.736104573982094621e+02,8.690002441406250000e+02
2.740950652205883102e+02,8.212003784179687500e+02
2.745797841095298963e+02,7.910004272460937500e+02
2.750646140650341636e+02,8.114003906250000000e+02
2.755495550871012256e+02,8.344003906250000000e+02
2.760346071757309687e+02,8.508002929687500000e+02
2.765197703309234498e+02,8.270002441406250000e+02
2.770050445526787257e+02,8.352002563476562500e+02
2.774904298409966259e+02,8.430004272460937500e+02
2.779759261958773209e+02,8.418004150390625000e+02
2.784615336173207538e+02,8.310004272460937500e+02
2.789472521053268679e+02,8.330003662109375000e+02
2.794330816598957199e+02,8.088000488281250000e+02
2.799190222810273099e+02,7.808000488281250000e+02
2.804050739687216378e+02,8.288002319335937500e+02
2.808912367229787037e+02,8.184002685546875000e+02
2.813775105437985076e+02,7.946001586914062500e+02
2.818638954311809925e+02,7.806002197265625000e+02
2.823503913851262155e+02,8.172003173828125000e+02
2.828369984056341764e+02,8.558002319335937500e+02
2.833237164927048752e+02,8.376003417968750000e+02
2.838105456463383121e+02,7.852002563476562500e+02
2.842974858665344868e+02,8.278006591796875000e+02
2.847845371532933427e+02,8.530007324218750000e+02
2.852716995066149366e+02,8.828007812500000000e+02
2.857589729264992684e+02,8.830004272460937500e+02
2.862463574129463382e+02,8.650002441406250000e+02
2.867338529659561459e+02,8.396001586914062500e+02
2.872214595855286916e+02,8.364002075195312500e+02
